WeekStart,Channel,Visitors,Leads,MQLs,SQLs,Customers,AdSpend
2025-03-03,Direct/Other,826,122,64,22,6,781.81
2025-06-23,Direct/Other,837,104,57,24,6,805.87
2025-10-27,Google Ads,4153,621,377,130,36,74690.12
2025-10-27,Facebook/Instagram Ads,3431,406,180,64,13,39822.43
2025-10-13,Facebook/Instagram Ads,3680,452,215,69,16,45223.51
2025-03-03,Facebook/Instagram Ads,2917,374,190,52,9,33285.48
2025-01-27,Email Marketing,1130,245,160,84,37,2038.0
2025-04-14,Referral,1126,352,212,141,70,3090.89
2025-05-19,Direct/Other,919,112,63,22,6,880.95
2025-08-18,Organic Search,2225,254,165,79,26,0.0
2025-07-14,Referral,1347,387,273,165,75,4403.25
2025-02-24,Referral,1067,281,173,104,49,3434.3
2025-04-28,Google Ads,4695,689,344,146,38,82081.43
2025-12-15,Referral,957,264,205,133,62,2862.07
2025-09-08,Organic Search,1878,185,110,59,21,0.0
2025-10-13,Referral,1058,267,176,96,54,3413.07
2025-03-17,Organic Search,2972,334,203,102,31,0.0
2025-05-19,Facebook/Instagram Ads,3050,359,168,61,14,38229.18
2025-08-18,Email Marketing,988,193,132,67,26,1964.92
2025-03-17,Google Ads,4558,667,402,152,46,87189.22
2025-10-06,Email Marketing,1180,270,174,94,33,2428.27
2025-09-15,Direct/Other,702,106,51,20,5,680.06
2025-08-18,Facebook/Instagram Ads,2859,372,179,54,10,31780.76
2025-11-24,Organic Search,3993,413,228,94,34,0.0
2025-02-17,Email Marketing,796,152,105,47,18,1518.96
2025-07-07,Facebook / Instagram Ads ,4102,500,258,92,17,53634.38
2025-04-28,Organic Search,2849,313,183,88,33,0.0
2025-02-03,Facebook/Instagram Ads,2657,328,134,48,11,30072.42
2025-09-08,Email Marketing,1045,231,150,70,28,1909.71
2025-03-17,Facebook / Instagram Ads ,3069,354,178,52,11,39856.4
2025-03-03,Email Marketing,907,225,140,65,24,1888.39
2025-08-04,Referral,817,200,141,72,37,2594.43
2025-10-27,Direct/Other,941,122,51,21,5,1015.52
2025-04-28,Email Marketing,1469,353,211,96,33,2804.07
2025-01-13,Direct/Other,994,149,76,26,6,978.41
2025-01-20,Direct/Other,905,121,52,17,4,900.01
2025-06-09,Organic Search,2539,280,168,91,34,0.0
2025-03-24,Facebook/Instagram Ads,2501,288,123,43,9,32760.5
2025-09-01,Direct/Other,683,96,45,15,4,699.46
2025-03-24,Organic Search,1803,158,94,48,16,0.0
2025-10-13,Email Marketing,1355,317,176,97,36,2502.99
2025-09-29,Direct/Other,922,114,61,23,7,911.89
2025-06-02,Facebook / Instagram Ads ,3776,432,186,66,14,47956.77
2025-06-23,Facebook/Instagram Ads,3058,401,185,66,15,36890.44
2025-05-12,Google Ads,4393,714,436,177,54,83496.25
2025-04-14,Direct/Other,834,105,52,22,5,865.44
2025-07-21,Organic Search,2427,209,118,50,18,0.0
2025-07-28,Referral,1119,291,223,126,58,3107.73
2025-11-10,Facebook / Instagram Ads ,3483,375,179,53,11,42527.87
2025-05-05,Google Ads,3531,566,327,115,31,67154.05
2025-12-22,Facebook/Instagram Ads,3916,528,260,92,20,46530.87
2025-01-13,Google Ads,3699,616,316,107,29,72190.88
2025-05-05,Direct/Other,838,105,56,23,7,841.79
2025-06-16,Google Ads,3743,603,314,130,35,66110.5
2025-06-30,Direct/Other,920,131,60,19,4,1001.24
2025-08-04,Direct/Other,823,104,47,17,4,791.1
2025-06-16,Email Marketing,1517,283,203,89,39,2972.4
2025-02-17,Facebook / Instagram Ads ,2099,225,111,38,7,24154.81
2025-05-19,Email Marketing,1111,227,155,84,31,2417.02
2025-10-06,Organic Search,1940,167,108,52,18,0.0
2025-03-24,Direct/Other,727,100,51,18,4,728.92
2025-01-27,Google Ads,3338,509,288,110,35,54154.13
2025-11-03,Organic Search,2251,214,113,46,18,0.0
2025-04-21,Email Marketing,885,194,136,64,26,1831.3
2025-11-24,Direct/Other,1239,165,76,27,8,1315.87
2025-01-06,Organic Search,1973,218,138,60,19,0.0
2025-04-21,Direct/Other,722,107,48,15,4,773.01
2025-07-07,Direct/Other,1178,181,97,35,10,1224.06
2025-01-27,Direct/Other,804,112,58,23,5,754.1
2025-01-06,Email Marketing,1029,222,151,74,25,1959.32
2025-03-10,Facebook / Instagram Ads ,2988,399,155,45,10,34846.77
2025-09-22,Facebook/Instagram Ads,2286,258,128,39,7,27415.34
2025-12-22,Referral,1026,253,202,111,60,3127.93
2025-12-22,Google Ads,4061,557,302,106,28,74942.43
2025-03-31,Email Marketing,1088,203,147,63,23,1959.85
2025-02-03,Referral,964,303,210,128,61,3054.05
2025-04-07,Direct/Other,637,79,37,14,3,646.24
2025-12-01,Referral,768,203,147,84,42,2093.35
2025-02-03,Organic Search,2824,266,168,74,24,0.0
2025-12-01,Google Ads,3482,618,331,133,39,56522.07
2025-02-24,Email Marketing,1423,272,199,107,47,2858.58
2025-08-18,Referral,861,245,168,90,50,2418.09
2025-07-07,Email Marketing,1666,379,262,123,51,3241.72
2025-09-22,Direct/Other,629,97,44,15,4,650.48
2025-12-08,Organic Search,3009,325,182,85,25,0.0
2025-08-11,Direct/Other,676,100,46,17,5,734.12
2025-12-29,Referral,996,300,199,134,58,2899.62
2025-08-11,Google Ads,3769,590,289,100,33,67790.79
2025-04-14,Facebook/Instagram Ads,3218,369,189,68,13,38359.15
2025-12-29,Direct/Other,951,144,62,24,5,876.25
2025-04-07,Facebook/Instagram Ads,2546,277,130,44,10,32329.32
2025-03-31,Organic Search,1742,192,124,53,17,0.0
2025-02-17,Referral,727,206,137,76,42,2370.85
2025-12-15,Direct/Other,917,125,56,18,4,1000.15
2025-11-17,Email Marketing,1663,410,248,120,49,3018.68
2025-08-25,Facebook/Instagram Ads,2974,341,164,49,12,37267.58
2025-08-25,Referral,1186,322,245,144,75,3846.48
2025-08-25,Organic Search,3041,336,215,117,41,0.0
2025-09-22,Email Marketing,904,170,110,59,23,1859.16
2025-10-20,Organic Search,2637,299,184,85,26,0.0
2025-06-30,Email Marketing,1704,422,239,104,41,3323.78
2025-11-24,Email Marketing,1875,406,233,104,35,3804.38
2025-07-14,Facebook/Instagram Ads,4952,608,262,92,18,53794.62
2025-12-08,Referral,1231,338,238,126,58,3520.41
2025-02-10,Referral,859,223,143,85,45,2455.25
2025-09-08,Facebook/Instagram Ads,2667,333,158,43,10,29834.61
2025-09-29,Facebook/Instagram Ads,3878,503,215,70,15,43684.93
2025-04-14,Email Marketing,1229,282,185,100,36,2230.69
2025-04-28,Facebook/Instagram Ads,3698,412,157,56,11,42291.81
2025-05-19,Google Ads,3837,547,340,156,42,63357.41
2025-08-25,Email Marketing,1282,271,196,103,40,2471.66
2025-09-22,Referral,863,250,156,102,58,2843.33
2025-08-04,Organic Search,2393,205,108,58,20,0.0
2025-07-21,Google Ads,3676,559,293,128,41,71915.12
2025-05-05,Organic Search,2307,218,131,67,26,0.0
2025-10-13,Google Ads,3568,598,341,146,49,69920.97
2025-01-13,Email Marketing,1293,320,177,75,26,2502.89
2025-06-02,Email Marketing,1218,244,171,90,34,2274.83
2025-12-29,Organic Search,2391,208,132,54,20,0.0
2025-03-31,Direct/Other,648,92,43,17,4,647.06
2025-06-30,Organic Search,3254,322,208,92,32,0.0
2025-03-10,Google Ads,3780,654,332,140,38,72030.81
2025-01-27,Facebook/Instagram Ads,2704,333,129,44,10,35369.46
2025-12-08,Email Marketing,1656,416,283,141,48,3184.12
2025-06-30,Facebook/Instagram Ads,4107,559,285,89,19,51773.49
2025-01-06,Facebook/Instagram Ads,2387,325,153,44,10,31466.82
2025-07-28,Google Ads,3629,654,330,145,47,67863.49
2025-06-02,Referral,1125,311,223,127,59,3265.29
2025-01-06,Google Ads,3345,568,273,113,38,59287.65
2025-04-28,Referral,1042,319,253,134,70,3432.25
2025-07-21,Email Marketing,1000,240,173,78,32,2178.45
2025-09-15,Email Marketing,1073,228,170,82,34,2133.81
2025-11-24,Referral,1839,507,347,222,115,5740.48
2025-06-16,Direct/Other,1027,153,70,29,8,1126.02
2025-08-25,Google Ads,3505,637,398,143,43,61520.72
2025-03-10,Direct/Other,1025,126,66,22,5,1112.28
2025-06-23,Referral,971,278,200,124,56,2877.96
2025-01-20,Google Ads,3892,696,417,147,47,63262.01
2025-05-26,Facebook/Instagram Ads,3100,396,191,57,14,39148.17
2025-06-09,Referral,1160,281,210,123,69,3644.2
2025-10-06,Direct/Other,790,109,47,16,4,734.0
2025-11-17,Referral,1444,460,365,189,81,4638.48
2025-03-10,Email Marketing,1327,305,181,88,38,2867.66
2025-05-26,Organic Search,2304,199,120,49,15,0.0
2025-11-03,Email Marketing,1182,241,166,75,25,2517.94
2025-10-06,Google Ads,3175,568,266,104,31,56054.43
2025-03-17,Email Marketing,1366,303,198,93,42,2817.96
2025-12-01,Direct/Other,732,87,41,15,4,801.04
2025-09-22,Google Ads,2636,409,216,74,23,43528.85
2025-12-22,Organic Search,2811,314,205,107,33,0.0
2025-05-26,Referral,854,265,206,135,71,2432.81
2025-01-20,Email Marketing,1129,275,201,108,46,2036.87
2025-12-08,Google Ads,3806,575,291,130,33,65964.92
2025-01-13,Referral,1220,348,255,132,59,3572.7
2025-10-13,Organic Search,2794,247,160,69,26,0.0
2025-11-10,Google Ads,4592,829,425,188,56,90790.07
2025-07-21,Facebook/Instagram Ads,2445,303,155,42,8,28826.5
2025-02-17,Google Ads,2571,411,213,96,24,49741.01
2025-10-20,Google Ads,3668,514,247,91,24,71622.53
2025-01-06,Referral,857,258,186,109,49,2717.37
2025-09-22,Organic Search,1799,160,107,44,14,0.0
2025-04-21,Organic Search,2277,194,123,60,19,0.0
2025-05-19,Organic Search,2700,279,158,67,21,0.0
2025-03-10,Referral,952,252,190,106,50,2626.29
2025-01-27,Referral,893,281,189,104,53,2427.19
2025-04-07,Email Marketing,994,195,123,54,21,1893.76
2025-03-03,Referral,927,272,169,97,48,2654.65
2025-12-08,Facebook/Instagram Ads,4153,511,204,59,13,49638.29
2025-01-20,Facebook/Instagram Ads,2679,340,144,50,11,33049.92
2025-12-29,Google Ads,3593,552,289,112,35,60631.59
2025-07-07,Referral,1336,393,273,164,72,3649.28
2025-03-31,Google Ads,2517,428,210,87,29,48327.2
2025-07-28,Email Marketing,1346,320,201,87,39,2593.3
2025-01-27,Organic Search,1909,186,123,66,24,0.0
2025-05-12,Email Marketing,1692,415,307,140,51,3560.85
2025-02-10,Direct/Other,813,130,65,22,6,878.89
2025-03-24,Referral,838,204,163,95,46,2511.46
2025-09-01,Email Marketing,843,183,136,69,26,1725.67
2025-09-15,Referral,861,214,133,74,34,2672.97
2025-05-26,Google Ads,3061,417,233,92,28,53870.39
2025-09-15,Google Ads,3154,517,308,140,44,60035.05
2025-02-03,Direct/Other,825,126,60,20,5,747.32
2025-11-10,Organic Search,3366,361,228,93,35,0.0
2025-08-11,Organic Search,2079,234,156,67,24,0.0
2025-12-01,Email Marketing,950,206,130,61,24,1739.86
2025-03-24,Email Marketing,990,238,158,81,31,2041.1
2025-08-04,Google Ads,3882,589,325,126,41,65685.09
2025-06-30,Google Ads,5256,780,453,192,65,90364.8
2025-10-20,Referral,947,273,213,124,55,3081.38
2025-12-15,Google Ads,3753,538,333,145,47,71141.88
2025-10-20,Facebook/Instagram Ads,3336,354,166,60,12,38587.5
2025-07-14,Email Marketing,1708,353,243,111,42,3081.63
2025-06-02,Google Ads,3444,594,305,125,36,62176.3
2025-12-15,Organic Search,2133,235,148,70,24,0.0
2025-09-15,Organic Search,2319,249,132,69,26,0.0
2025-12-29,Facebook/Instagram Ads,3493,465,186,60,13,41447.04
2025-03-17,Referral,1130,283,211,131,74,3437.41
2025-11-03,Direct/Other,917,135,75,28,6,846.03
2025-09-08,Referral,897,215,136,91,49,2582.66
2025-11-17,Organic Search,3183,317,192,82,31,0.0
2025-12-22,Direct/Other,902,144,78,26,7,899.97
2025-06-02,Organic Search,2909,266,147,76,28,0.0
2025-04-07,Referral,696,210,138,94,49,2040.36
2025-11-03,Referral,1067,285,213,114,60,3120.64
2025-07-28,Facebook/Instagram Ads,3456,434,202,67,15,40185.17
2025-06-16,Referral,1180,294,177,108,53,3414.99
2025-06-09,Facebook / Instagram Ads ,3321,370,157,56,12,39525.61
2025-07-21,Referral,930,224,137,72,32,2805.02
2025-03-31,Referral,886,282,193,123,53,2686.92
2025-02-10,Organic Search,2422,228,148,72,27,0.0
2025-02-10,Facebook/Instagram Ads,3167,400,165,51,12,38158.44
2025-09-29,Referral,1215,328,216,138,74,3481.0
2025-10-06,Facebook / Instagram Ads ,2990,388,186,56,12,33555.3
2025-08-11,Facebook/Instagram Ads,2516,329,127,45,11,32845.85
2025-07-21,Direct/Other,857,133,75,30,9,782.75
2025-12-01,Facebook/Instagram Ads,2833,362,145,48,9,32549.4
2025-02-17,Organic Search,1588,170,114,51,17,0.0
2025-01-20,Organic Search,2479,278,183,75,30,0.0
2025-04-21,Referral,727,198,129,71,36,1982.77
2025-01-20,Referral,898,274,220,123,66,2485.49
2025-09-15,Facebook/Instagram Ads,2817,371,175,58,14,35126.94
2025-04-07,Google Ads,2907,444,244,103,32,48503.21
2025-04-21,Facebook/Instagram Ads,2601,335,142,39,7,31614.35
2025-08-04,Email Marketing,1294,276,180,102,36,2427.71
2025-11-10,Email Marketing,1269,310,206,99,36,2706.71
2025-08-11,Referral,778,212,152,98,48,2416.71
2025-12-22,Email Marketing,1566,356,259,116,41,2901.89
2025-05-12,Facebook/Instagram Ads,3469,357,181,55,12,41397.26
2025-06-09,Email Marketing,1173,253,180,88,39,2319.75
2025-10-13,Direct/Other,945,137,63,24,7,883.92
2025-06-23,Email Marketing,1142,257,166,70,29,2313.32
2025-05-05,Email Marketing,1180,237,152,81,30,2415.32
2025-11-03,Google Ads,3831,535,320,137,46,71648.33
2025-12-15,Email Marketing,1022,215,124,60,25,2022.24
2025-07-28,Direct/Other,974,146,78,28,8,889.0
2025-07-14,Organic Search,3872,354,237,115,37,0.0
2025-05-12,Organic Search,3129,286,159,70,26,0.0
2025-10-27,Referral,913,285,223,144,78,2631.6
2025-01-06,Direct/Other,685,102,50,19,5,644.31
2025-06-23,Google Ads,3714,539,292,100,30,71069.27
2025-05-05,Facebook/Instagram Ads,2663,318,154,43,8,31962.5
2025-09-08,Google Ads,2862,479,230,90,23,56445.35
2025-02-17,Direct/Other,626,84,42,16,5,617.68
2025-06-09,Direct/Other,1018,150,86,28,8,1095.06
2025-10-27,Organic Search,2642,261,153,67,22,0.0
2025-06-23,Organic Search,2008,212,144,60,20,0.0
2025-05-26,Direct/Other,731,87,45,14,3,659.24
2025-04-14,Organic Search,2622,250,144,78,28,0.0
2025-02-10,Google Ads,3334,515,300,137,36,61323.88
2025-03-17,Direct/Other,929,134,59,20,5,955.75
2025-08-25,Direct/Other,983,153,76,26,6,909.43
2025-09-01,Facebook/Instagram Ads,2350,320,163,57,12,26693.25
2025-02-24,Organic Search,2550,273,142,66,23,0.0
2025-02-03,Email Marketing,1160,248,138,58,19,2496.38
2025-04-07,Organic Search,1890,216,144,69,22,0.0
2025-05-12,Direct/Other,1124,155,82,27,7,1117.17
2025-09-01,Google Ads,2551,367,195,85,25,49864.05
2025-01-13,Facebook/Instagram Ads,3638,447,195,68,13,44817.87
2025-09-01,Referral,868,231,176,91,43,2542.25
2025-07-07,Organic Search,3167,338,222,91,28,0.0
2025-05-12,Referral,1230,324,219,112,64,3401.02
2025-09-29,Email Marketing,1284,245,160,77,28,2657.47
2025-09-29,Google Ads,3807,577,272,111,34,67694.69
2025-01-13,Organic Search,2336,243,166,84,25,0.0
2025-03-31,Facebook/Instagram Ads,2141,254,116,35,7,28040.37
2025-05-19,Referral,1044,279,193,103,55,3390.72
2025-08-11,Email Marketing,1001,252,147,82,36,2135.58
2025-09-01,Organic Search,1972,202,120,64,21,0.0
